Subject_ID,Gesture_Folder,Class_ID,Gesture_Name,Image_Count,Ratio_Percentage
00,01_palm,0,Open Palm,200,1.0
00,02_l,1,L-Shape,200,1.0
00,03_fist,2,Fist,200,1.0
00,04_fist_moved,3,Fist Moved,200,1.0
00,05_thumb,4,Thumb Up,200,1.0
00,06_index,5,Index Point,200,1.0
00,07_ok,6,OK Sign,200,1.0
00,08_palm_moved,7,Palm Moved,200,1.0
00,09_c,8,C-Shape,200,1.0
00,10_down,9,Hand Down,200,1.0
01,01_palm,0,Open Palm,200,1.0
01,02_l,1,L-Shape,200,1.0
01,03_fist,2,Fist,200,1.0
01,04_fist_moved,3,Fist Moved,200,1.0
01,05_thumb,4,Thumb Up,200,1.0
01,06_index,5,Index Point,200,1.0
01,07_ok,6,OK Sign,200,1.0
01,08_palm_moved,7,Palm Moved,200,1.0
01,09_c,8,C-Shape,200,1.0
01,10_down,9,Hand Down,200,1.0
02,01_palm,0,Open Palm,200,1.0
02,02_l,1,L-Shape,200,1.0
02,03_fist,2,Fist,200,1.0
02,04_fist_moved,3,Fist Moved,200,1.0
02,05_thumb,4,Thumb Up,200,1.0
02,06_index,5,Index Point,200,1.0
02,07_ok,6,OK Sign,200,1.0
02,08_palm_moved,7,Palm Moved,200,1.0
02,09_c,8,C-Shape,200,1.0
02,10_down,9,Hand Down,200,1.0
03,01_palm,0,Open Palm,200,1.0
03,02_l,1,L-Shape,200,1.0
03,03_fist,2,Fist,200,1.0
03,04_fist_moved,3,Fist Moved,200,1.0
03,05_thumb,4,Thumb Up,200,1.0
03,06_index,5,Index Point,200,1.0
03,07_ok,6,OK Sign,200,1.0
03,08_palm_moved,7,Palm Moved,200,1.0
03,09_c,8,C-Shape,200,1.0
03,10_down,9,Hand Down,200,1.0
04,01_palm,0,Open Palm,200,1.0
04,02_l,1,L-Shape,200,1.0
04,03_fist,2,Fist,200,1.0
04,04_fist_moved,3,Fist Moved,200,1.0
04,05_thumb,4,Thumb Up,200,1.0
04,06_index,5,Index Point,200,1.0
04,07_ok,6,OK Sign,200,1.0
04,08_palm_moved,7,Palm Moved,200,1.0
04,09_c,8,C-Shape,200,1.0
04,10_down,9,Hand Down,200,1.0
05,01_palm,0,Open Palm,200,1.0
05,02_l,1,L-Shape,200,1.0
05,03_fist,2,Fist,200,1.0
05,04_fist_moved,3,Fist Moved,200,1.0
05,05_thumb,4,Thumb Up,200,1.0
05,06_index,5,Index Point,200,1.0
05,07_ok,6,OK Sign,200,1.0
05,08_palm_moved,7,Palm Moved,200,1.0
05,09_c,8,C-Shape,200,1.0
05,10_down,9,Hand Down,200,1.0
06,01_palm,0,Open Palm,200,1.0
06,02_l,1,L-Shape,200,1.0
06,03_fist,2,Fist,200,1.0
06,04_fist_moved,3,Fist Moved,200,1.0
06,05_thumb,4,Thumb Up,200,1.0
06,06_index,5,Index Point,200,1.0
06,07_ok,6,OK Sign,200,1.0
06,08_palm_moved,7,Palm Moved,200,1.0
06,09_c,8,C-Shape,200,1.0
06,10_down,9,Hand Down,200,1.0
07,01_palm,0,Open Palm,200,1.0
07,02_l,1,L-Shape,200,1.0
07,03_fist,2,Fist,200,1.0
07,04_fist_moved,3,Fist Moved,200,1.0
07,05_thumb,4,Thumb Up,200,1.0
07,06_index,5,Index Point,200,1.0
07,07_ok,6,OK Sign,200,1.0
07,08_palm_moved,7,Palm Moved,200,1.0
07,09_c,8,C-Shape,200,1.0
07,10_down,9,Hand Down,200,1.0
08,01_palm,0,Open Palm,200,1.0
08,02_l,1,L-Shape,200,1.0
08,03_fist,2,Fist,200,1.0
08,04_fist_moved,3,Fist Moved,200,1.0
08,05_thumb,4,Thumb Up,200,1.0
08,06_index,5,Index Point,200,1.0
08,07_ok,6,OK Sign,200,1.0
08,08_palm_moved,7,Palm Moved,200,1.0
08,09_c,8,C-Shape,200,1.0
08,10_down,9,Hand Down,200,1.0
09,01_palm,0,Open Palm,200,1.0
09,02_l,1,L-Shape,200,1.0
09,03_fist,2,Fist,200,1.0
09,04_fist_moved,3,Fist Moved,200,1.0
09,05_thumb,4,Thumb Up,200,1.0
09,06_index,5,Index Point,200,1.0
09,07_ok,6,OK Sign,200,1.0
09,08_palm_moved,7,Palm Moved,200,1.0
09,09_c,8,C-Shape,200,1.0
09,10_down,9,Hand Down,200,1.0
