epoch,train_loss,val_loss,train_acc,val_acc,train_precision,val_precision,train_recall,val_recall,train_f1,val_f1,learning_rate,epoch_duration_seconds
1,1.51793,0.62785,0.4513,0.8335,0.4425,0.851,0.4519,0.8335,0.4412,0.8293,0.001,417.24
2,0.46542,0.30839,0.8475,0.8968,0.8475,0.9112,0.8478,0.8967,0.8473,0.8969,0.0009960612933065818,402.56
3,0.18758,0.22884,0.9449,0.9413,0.9451,0.9455,0.9449,0.9412,0.945,0.9409,0.0009843072889837514,456.29
4,0.09122,0.26026,0.9757,0.9285,0.9758,0.9352,0.9758,0.9285,0.9758,0.928,0.000964923354701182,4438.01
5,0.07173,0.18811,0.9788,0.9497,0.9788,0.9548,0.9788,0.9498,0.9788,0.9493,0.0009382151866819102,255.63
6,0.04951,0.15887,0.9861,0.9665,0.9861,0.968,0.9861,0.9665,0.9861,0.9664,0.0009046039886902867,272.45
7,0.03743,0.26088,0.9899,0.9365,0.9898,0.9452,0.9899,0.9365,0.9899,0.9359,0.0008646198293969955,272.39
8,0.03206,0.1542,0.9915,0.9657,0.9915,0.968,0.9916,0.9658,0.9915,0.9658,0.0008188932828794708,272.1
9,0.03387,0.24288,0.9902,0.9387,0.9902,0.9464,0.9902,0.9387,0.9902,0.9388,0.000768145484092009,272.77
10,0.02667,0.10287,0.9932,0.9825,0.9932,0.9835,0.9932,0.9825,0.9932,0.9824,0.0007131767561367541,272.93
11,0.02074,0.14205,0.9947,0.9667,0.9947,0.9697,0.9947,0.9667,0.9947,0.9669,0.0006548539886902865,274.06
12,0.01592,0.16315,0.9956,0.97,0.9956,0.9722,0.9956,0.97,0.9956,0.97,0.0005940969666355698,274.1
13,0.02108,0.15677,0.9937,0.95,0.9937,0.9545,0.9938,0.95,0.9937,0.9506,0.0005318638645048923,278.4
14,0.01135,0.15053,0.9972,0.9683,0.9972,0.9706,0.9972,0.9682,0.9972,0.9682,0.0004691361354951082,280.36
15,0.00884,0.12552,0.998,0.9802,0.998,0.9813,0.998,0.9803,0.998,0.9802,0.00040690303336443076,277.41
